state,$default,$end,'(',')',"','",';','?','{','}',AS,AT,BLUEPRINT,CONSTRUCT,DIVIDE,DROP,EAST,EAST_SCAN,ELSE,EMPTY,EQ_OP,FALSE,GO,GRID,IDENTIFIER,IF,INTEGER,MINUS,MODULO,MULTIPLY,NE_OP,NORTH,NORTH_SCAN,OBSTACLE,PICK,PLUS,REPEAT,SCAN,SOUTH,SOUTH_SCAN,SPAWN,THEN,TRUE,TURN,UMINUS,WEST,WEST_SCAN,error
87,,,,,,,,,,,s94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,,,,,,,,,s96,,,,,,,,,,,,,,,,,,,,,,,,s95,,,,,,,,,,,,,,
89,,,,,,,,,,,,,,,,s60,,,,,,,,,,,,,,,s58,,,,,,,s59,,,,,,,s61,,
90,,,,,,,,s45,,,,,,,s42,,,,,,,s39,,,s43,,,,,,,,,s41,,s44,,,,,,,s40,,,,
91,,,,,,,,,,,,,,,,,,,s101,,,,,,,,,,,,,,s100,,,,,,,,,,,,,,
92,,,,,,,,,,,,,,,,,,,s101,,,,,,,,,,,,,,s100,,,,,,,,,,,,,,
93,,,,,s104,,,,,,,,,s25,,,,,,,,,,,,,s23,s26,s24,,,,,,s22,,,,,,,,,,,,
94,,,s105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,,,s106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,r7,r7,r7,r7,r7,r7,r7,r7,r7,r7,r7,r7,r7,r7,r7,r7,r7,r7,r7,r7,r7,r7,r7,,r7,,r7,r7,r7,r7,r7,r7,r7,r7,r7,r7,r7,r7,r7,r7,r7,r7,r7,r7,r7,r7,r7
97,r9,r9,r9,r9,r9,r9,r9,r9,r9,r9,r9,r9,r9,r9,r9,r9,r9,r9,r9,r9,r9,r9,r9,,r9,,r9,r9,r9,r9,r9,r9,r9,r9,r9,r9,r9,r9,r9,r9,r9,r9,r9,r9,r9,r9,r9
98,,,,,,,s107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,r31,r31,r31,r31,r31,r31,r31,r31,r31,r31,r31,r31,r31,r31,r31,r31,r31,s108,r31,r31,r31,r31,r31,,r31,,r31,r31,r31,r31,r31,r31,r31,r31,r31,r31,r31,r31,r31,r31,r31,r31,r31,r31,r31,r31,r31
100,r44,r44,r44,r44,r44,r44,r44,r44,r44,r44,r44,r44,r44,r44,r44,r44,r44,r44,r44,r44,r44,r44,r44,,r44,,r44,r44,r44,r44,r44,r44,r44,r44,r44,r44,r44,r44,r44,r44,r44,r44,r44,r44,r44,r44,r44
101,r45,r45,r45,r45,r45,r45,r45,r45,r45,r45,r45,r45,r45,r45,r45,r45,r45,r45,r45,r45,r45,r45,r45,,r45,,r45,r45,r45,r45,r45,r45,r45,r45,r45,r45,r45,r45,r45,r45,r45,r45,r45,r45,r45,r45,r45
102,r38,r38,r38,r38,r38,r38,r38,r38,r38,r38,r38,r38,r38,r38,r38,r38,r38,r38,r38,r38,r38,r38,r38,,r38,,r38,r38,r38,r38,r38,r38,r38,r38,r38,r38,r38,r38,r38,r38,r38,r38,r38,r38,r38,r38,r38
103,r39,r39,r39,r39,r39,r39,r39,r39,r39,r39,r39,r39,r39,r39,r39,r39,r39,r39,r39,r39,r39,r39,r39,,r39,,r39,r39,r39,r39,r39,r39,r39,r39,r39,r39,r39,r39,r39,r39,r39,r39,r39,r39,r39,r39,r39
104,,,s16,,,,,,,,,,,,,,,,,,,,,,,s15,s14,,,,,,,,,,,,,,,,,,,,
105,,,s16,,,,,,,,,,,,,,,,,,,,,,,s15,s14,,,,,,,,,,,,,,,,,,,,
106,,,s16,,,,,,,,,,,,,,,,,,,,,,,s15,s14,,,,,,,,,,,,,,,,,,,,
107,,,,s112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,,,,,,,,s45,,,,,,,s42,,,,,,,s39,,,s43,,,,,,,,,s41,,s44,,,,,,,s40,,,,
109,,,,s114,,,,,,,,,,s25,,,,,,,,,,,,,s23,s26,s24,,,,,,s22,,,,,,,,,,,,
110,,,,,s115,,,,,,,,,s25,,,,,,,,,,,,,s23,s26,s24,,,,,,s22,,,,,,,,,,,,
111,,,,,s116,,,,,,,,,s25,,,,,,,,,,,,,s23,s26,s24,,,,,,s22,,,,,,,,,,,,
112,,,,,,,,,,,,,,,,,,,,s117,,,,,,,,,,s118,,,,,,,,,,,,,,,,,
113,r32,r32,r32,r32,r32,r32,r32,r32,r32,r32,r32,r32,r32,r32,r32,r32,r32,r32,r32,r32,r32,r32,r32,,r32,,r32,r32,r32,r32,r32,r32,r32,r32,r32,r32,r32,r32,r32,r32,r32,r32,r32,r32,r32,r32,r32
114,,,,,,s119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,,,s16,,,,,,,,,,,,,,,,,,,,,,,s15,s14,,,,,,,,,,,,,,,,,,,,
116,,,s16,,,,,,,,,,,,,,,,,,,,,,,s15,s14,,,,,,,,,,,,,,,,,,,,
117,,,,,,,,,,,,,,,,,,,s101,,,,,,,,,,,,,,s100,,,,,,,,,,,,,,
118,,,,,,,,,,,,,,,,,,,s101,,,,,,,,,,,,,,s100,,,,,,,,,,,,,,
119,r15,r15,r15,r15,r15,r15,r15,r15,r15,r15,r15,r15,r15,r15,r15,r15,r15,r15,r15,r15,r15,r15,r15,,r15,,r15,r15,r15,r15,r15,r15,r15,r15,r15,r15,r15,r15,r15,r15,r15,r15,r15,r15,r15,r15,r15
120,,,,s124,,,,,,,,,,s25,,,,,,,,,,,,,s23,s26,s24,,,,,,s22,,,,,,,,,,,,
121,,,,s125,,,,,,,,,,s25,,,,,,,,,,,,,s23,s26,s24,,,,,,s22,,,,,,,,,,,,
122,r36,r36,r36,r36,r36,r36,r36,r36,r36,r36,r36,r36,r36,r36,r36,r36,r36,r36,r36,r36,r36,r36,r36,,r36,,r36,r36,r36,r36,r36,r36,r36,r36,r36,r36,r36,r36,r36,r36,r36,r36,r36,r36,r36,r36,r36
123,r37,r37,r37,r37,r37,r37,r37,r37,r37,r37,r37,r37,r37,r37,r37,r37,r37,r37,r37,r37,r37,r37,r37,,r37,,r37,r37,r37,r37,r37,r37,r37,r37,r37,r37,r37,r37,r37,r37,r37,r37,r37,r37,r37,r37,r37
124,,,,,,s126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,,,,,,s127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,r16,r16,r16,r16,r16,r16,r16,r16,r16,r16,r16,r16,r16,r16,r16,r16,r16,r16,r16,r16,r16,r16,r16,,r16,,r16,r16,r16,r16,r16,r16,r16,r16,r16,r16,r16,r16,r16,r16,r16,r16,r16,r16,r16,r16,r16
127,r10,r10,r10,r10,r10,r10,r10,r10,r10,r10,r10,r10,r10,r10,r10,r10,r10,r10,r10,r10,r10,r10,r10,,r10,,r10,r10,r10,r10,r10,r10,r10,r10,r10,r10,r10,r10,r10,r10,r10,r10,r10,r10,r10,r10,r10
